Name	Errors
AATS5dv	68
AATS6dv	134
AATS7dv	218
AATS8dv	321
AATS5d	68
AATS6d	134
AATS7d	218
AATS8d	321
AATS5s	68
AATS6s	134
AATS7s	218
AATS8s	321
AATS5Z	68
AATS6Z	134
AATS7Z	218
AATS8Z	321
AATS5m	68
AATS6m	134
AATS7m	218
AATS8m	321
AATS5v	68
AATS6v	134
AATS7v	218
AATS8v	321
AATS5se	68
AATS6se	134
AATS7se	218
AATS8se	321
AATS5pe	68
AATS6pe	134
AATS7pe	218
AATS8pe	321
AATS5are	68
AATS6are	134
AATS7are	218
AATS8are	321
AATS5p	68
AATS6p	134
AATS7p	218
AATS8p	321
AATS5i	68
AATS6i	134
AATS7i	218
AATS8i	321
AATSC5c	68
AATSC6c	134
AATSC7c	218
AATSC8c	321
AATSC5dv	68
AATSC6dv	134
AATSC7dv	218
AATSC8dv	321
AATSC5d	68
AATSC6d	134
AATSC7d	218
AATSC8d	321
AATSC5s	68
AATSC6s	134
AATSC7s	218
AATSC8s	321
AATSC5Z	68
AATSC6Z	134
AATSC7Z	218
AATSC8Z	321
AATSC5m	68
AATSC6m	134
AATSC7m	218
AATSC8m	321
AATSC5v	68
AATSC6v	134
AATSC7v	218
AATSC8v	321
AATSC5se	68
AATSC6se	134
AATSC7se	218
AATSC8se	321
AATSC5pe	68
AATSC6pe	134
AATSC7pe	218
AATSC8pe	321
AATSC5are	68
AATSC6are	134
AATSC7are	218
AATSC8are	321
AATSC5p	68
AATSC6p	134
AATSC7p	218
AATSC8p	321
AATSC5i	68
AATSC6i	134
AATSC7i	218
AATSC8i	321
MATS5c	68
MATS6c	134
MATS7c	218
MATS8c	321
MATS5dv	68
MATS6dv	134
MATS7dv	218
MATS8dv	321
MATS5d	68
MATS6d	134
MATS7d	218
MATS8d	321
MATS5s	68
MATS6s	134
MATS7s	218
MATS8s	321
MATS5Z	68
MATS6Z	134
MATS7Z	218
MATS8Z	321
MATS5m	68
MATS6m	134
MATS7m	218
MATS8m	321
MATS5v	68
MATS6v	134
MATS7v	218
MATS8v	321
MATS5se	68
MATS6se	134
MATS7se	218
MATS8se	321
MATS5pe	68
MATS6pe	134
MATS7pe	218
MATS8pe	321
MATS5are	68
MATS6are	134
MATS7are	218
MATS8are	321
MATS5p	68
MATS6p	134
MATS7p	218
MATS8p	321
MATS5i	68
MATS6i	134
MATS7i	218
MATS8i	321
GATS5c	68
GATS6c	134
GATS7c	218
GATS8c	321
GATS5dv	68
GATS6dv	134
GATS7dv	218
GATS8dv	321
GATS5d	68
GATS6d	134
GATS7d	218
GATS8d	321
GATS5s	68
GATS6s	134
GATS7s	218
GATS8s	321
GATS5Z	68
GATS6Z	134
GATS7Z	218
GATS8Z	321
GATS5m	68
GATS6m	134
GATS7m	218
GATS8m	321
GATS5v	68
GATS6v	134
GATS7v	218
GATS8v	321
GATS5se	68
GATS6se	134
GATS7se	218
GATS8se	321
GATS5pe	68
GATS6pe	134
GATS7pe	218
GATS8pe	321
GATS5are	68
GATS6are	134
GATS7are	218
GATS8are	321
GATS5p	68
GATS6p	134
GATS7p	218
GATS8p	321
GATS5i	68
GATS6i	134
GATS7i	218
GATS8i	321
AXp-4d	74
AXp-5d	105
AXp-6d	147
AXp-7d	207
AXp-4dv	74
AXp-5dv	105
AXp-6dv	147
AXp-7dv	207
MAXsLi	4066
MAXssBe	4066
MAXssssBe	4066
MAXssBH	4066
MAXsssB	4064
MAXssssB	4066
MAXsCH3	990
MAXdCH2	3935
MAXssCH2	606
MAXtCH	3984
MAXdsCH	3078
MAXaaCH	1254
MAXsssCH	1241
MAXddC	4064
MAXtsC	3896
MAXdssC	1286
MAXaasC	1246
MAXaaaC	3450
MAXssssC	2496
MAXsNH3	3763
MAXsNH2	3487
MAXssNH2	3785
MAXdNH	4046
MAXssNH	2948
MAXaaNH	3701
MAXtN	3996
MAXsssNH	3440
MAXdsN	3835
MAXaaN	3225
MAXsssN	3030
MAXddsN	3959
MAXaasN	3550
MAXssssN	3980
MAXsOH	2271
MAXdO	1121
MAXssO	2265
MAXaaO	3920
MAXsF	3579
MAXsSiH3	4066
MAXssSiH2	4066
MAXsssSiH	4066
MAXssssSi	4066
MAXsPH2	4066
MAXssPH	4066
MAXsssP	4065
MAXdsssP	3981
MAXsssssP	4066
MAXsSH	4043
MAXdS	4031
MAXssS	3626
MAXaaS	3866
MAXdssS	4054
MAXddssS	3795
MAXsCl	3481
MAXsGeH3	4066
MAXssGeH2	4066
MAXsssGeH	4066
MAXssssGe	4066
MAXsAsH2	4066
MAXssAsH	4066
MAXsssAs	4066
MAXsssdAs	4066
MAXsssssAs	4066
MAXsSeH	4066
MAXdSe	4066
MAXssSe	4066
MAXaaSe	4066
MAXdssSe	4066
MAXddssSe	4066
MAXsBr	4013
MAXsSnH3	4066
MAXssSnH2	4066
MAXsssSnH	4066
MAXssssSn	4066
MAXsI	4014
MAXsPbH3	4066
MAXssPbH2	4066
MAXsssPbH	4066
MAXssssPb	4066
MINsLi	4066
MINssBe	4066
MINssssBe	4066
MINssBH	4066
MINsssB	4064
MINssssB	4066
MINsCH3	990
MINdCH2	3935
MINssCH2	606
MINtCH	3984
MINdsCH	3078
MINaaCH	1254
MINsssCH	1241
MINddC	4064
MINtsC	3896
MINdssC	1286
MINaasC	1246
MINaaaC	3450
MINssssC	2496
MINsNH3	3763
MINsNH2	3487
MINssNH2	3785
MINdNH	4046
MINssNH	2948
MINaaNH	3701
MINtN	3996
MINsssNH	3440
MINdsN	3835
MINaaN	3225
MINsssN	3030
MINddsN	3959
MINaasN	3550
MINssssN	3980
MINsOH	2271
MINdO	1121
MINssO	2265
MINaaO	3920
MINsF	3579
MINsSiH3	4066
MINssSiH2	4066
MINsssSiH	4066
MINssssSi	4066
MINsPH2	4066
MINssPH	4066
MINsssP	4065
MINdsssP	3981
MINsssssP	4066
MINsSH	4043
MINdS	4031
MINssS	3626
MINaaS	3866
MINdssS	4054
MINddssS	3795
MINsCl	3481
MINsGeH3	4066
MINssGeH2	4066
MINsssGeH	4066
MINssssGe	4066
MINsAsH2	4066
MINssAsH	4066
MINsssAs	4066
MINsssdAs	4066
MINsssssAs	4066
MINsSeH	4066
MINdSe	4066
MINssSe	4066
MINaaSe	4066
MINdssSe	4066
MINddssSe	4066
MINsBr	4013
MINsSnH3	4066
MINssSnH2	4066
MINsssSnH	4066
MINssssSn	4066
MINsI	4014
MINsPbH3	4066
MINssPbH2	4066
MINsssPbH	4066
MINssssPb	4066
MDEC-11	1809
MDEC-12	1005
MDEC-13	994
MDEC-14	2654
MDEC-22	201
MDEC-23	187
MDEC-24	2526
MDEC-33	222
MDEC-34	2531
MDEC-44	3327
MDEO-11	1223
MDEO-12	2356
MDEO-22	3214
MDEN-11	3882
MDEN-12	3409
MDEN-13	3623
MDEN-22	3012
MDEN-23	2860
MDEN-33	3456
Vabc	52
